
0.003,1,1e-07,unopt,2.8510992706287652e-05,2.8510992706287652e-05
0.003,1,1e-07,opt,3.058426227653399e-05,3.058426227653399e-05
0.003,1,1e-08,unopt,2.8744228984578513e-05,2.8744228984578513e-05
0.003,1,1e-08,opt,3.0937088013160974e-05,3.0937088013160974e-05
0.003,2,1e-07,unopt,3.988820390077308e-05,3.988820390077308e-05
0.003,2,1e-07,opt,4.265808092895895e-05,4.265808092895895e-05
0.003,2,1e-08,unopt,4.1027229599421844e-05,4.1027229599421844e-05
0.003,2,1e-08,opt,4.377646837383509e-05,4.377646837383509e-05
0.003,1,1e-07,unopt,2.9055252525722608e-05,2.9055252525722608e-05
0.003,1,1e-07,opt,3.132671190542169e-05,3.132671190542169e-05
0.003,1,1e-08,unopt,2.5800673029152676e-05,2.5800673029152676e-05
0.003,1,1e-08,opt,2.738594776019454e-05,2.738594776019454e-05
0.003,2,1e-07,unopt,3.3433007047278807e-05,3.3433007047278807e-05
0.003,2,1e-07,opt,3.551412373781204e-05,3.551412373781204e-05
0.003,2,1e-08,unopt,4.0030310628935695e-05,4.0030310628935695e-05
0.003,2,1e-08,opt,4.290287688490935e-05,4.290287688490935e-05
0.003,5,1e-07,unopt,5.881900870008394e-05,5.881900870008394e-05
0.003,5,1e-07,opt,6.211247091414407e-05,6.211247091414407e-05
0.003,5,1e-08,unopt,6.02652107772883e-05,6.02652107772883e-05
0.003,5,1e-08,opt,6.340702384477481e-05,6.340702384477481e-05
0.003,10,1e-07,unopt,7.70345504861325e-05,0.008776932954788208
0.003,10,1e-07,opt,7.985668344190344e-05,0.008936257101595402
