0.003,5,1e-06,unopt,5.668933954439126e-05,0.007529232185333967
0.003,5,1e-06,opt,5.9569192671915516e-05,0.007718108128756285
0.001,5,1e-06,unopt,3.631796789704822e-05,0.006026438903063536
0.001,5,1e-06,opt,3.900603769579902e-05,0.006245481316000223
0.03,5,1e-06,unopt,0.00011768926924560219,0.01084846816956997
0.03,5,1e-06,opt,0.00011894883937202394,0.010906366631388664
0.003,5,5e-06,unopt,5.165074617252685e-05,0.007186845410615206
0.003,5,5e-06,opt,5.482813503476791e-05,0.0074046021327376366
0.001,5,5e-06,unopt,3.315571666462347e-05,0.005758100189268589
0.001,5,5e-06,opt,3.552758425939828e-05,0.005960502196103334
0.03,5,5e-06,unopt,8.376536425203085e-05,0.00915234163403511
0.03,5,5e-06,opt,8.596124825999141e-05,0.009271528571844101
0.003,5,1e-07,unopt,4.83651201648172e-05,0.006954503711313009
0.003,5,1e-07,opt,5.071298437542282e-05,0.007121304981410503
0.001,5,1e-07,unopt,3.5788081731880084e-05,0.005982314236462116
0.001,5,1e-07,opt,3.830872446997091e-05,0.006189404055476189
0.03,5,1e-07,unopt,0.00014589409693144262,0.01207866333425045
0.03,5,1e-07,opt,0.00014701660256832838,0.012125040404498577
0.003,5,5e-07,unopt,5.861066892975941e-05,0.0076557607389986515
0.003,5,5e-07,opt,6.202640361152589e-05,0.007875684648752213
0.001,5,5e-07,unopt,3.540296165738255e-05,0.0059500387869775295
0.001,5,5e-07,opt,3.7889243685640395e-05,0.006155423820018768
0.03,5,5e-07,unopt,0.00010520250361878425,0.010256826877593994
0.03,5,5e-07,opt,0.00010797182039823383,0.010390948504209518
0.003,5,1e-08,unopt,5.701200643670745e-05,0.007550629321485758
0.003,5,1e-08,opt,6.012786616338417e-05,0.007754215970635414
0.001,5,1e-08,unopt,3.557079253369011e-05,0.005964125506579876
0.001,5,1e-08,opt,3.8112280890345573e-05,0.006173514295369387
0.03,5,1e-08,unopt,9.121050243265927e-05,0.009550418704748154
0.03,5,1e-08,opt,9.357955423183739e-05,0.009673652239143848
0.003,5,5e-08,unopt,5.981268986943178e-05,0.007733866572380066
0.003,5,5e-08,opt,6.30620852462016e-05,0.007941164076328278
0.001,5,5e-08,unopt,3.466743146418594e-05,0.005887905601412058
0.001,5,5e-08,opt,3.703210677485913e-05,0.006085400935262442
0.03,5,5e-08,unopt,0.00013943261001259089,0.011808158829808235
0.03,5,5e-08,opt,0.00014134951925370842,0.011889050714671612
0.003,10,1e-06,unopt,7.179642125265673e-05,0.00847327709197998
0.003,10,1e-06,opt,7.523746899096295e-05,0.00867395382374525
0.001,10,1e-06,unopt,5.238131052465178e-05,0.007237493526190519
0.001,10,1e-06,opt,5.542524013435468e-05,0.0074448129162192345
0.03,10,1e-06,unopt,0.00011761800851672888,0.0108451833948493
0.03,10,1e-06,opt,0.00011880388046847656,0.010899718850851059
0.003,10,5e-06,unopt,6.203554221428931e-05,0.007876264862716198
0.003,10,5e-06,opt,6.507989019155502e-05,0.008067211136221886
0.001,10,5e-06,unopt,4.802255716640502e-05,0.006929831113666296
0.001,10,5e-06,opt,5.083123323856853e-05,0.00712960259988904
0.03,10,5e-06,unopt,9.31469548959285e-05,0.00965126696974039
0.03,10,5e-06,opt,9.483102621743456e-05,0.00973812211304903
0.003,10,1e-07,unopt,8.912964403862134e-05,0.009440849535167217
0.003,10,1e-07,opt,9.275847696699202e-05,0.009631120599806309
0.001,10,1e-07,unopt,5.1523500587791204e-05,0.007177987135946751
0.001,10,1e-07,opt,5.463064371724613e-05,0.0073912544175982475
0.03,10,1e-07,unopt,0.00014334439765661955,0.011972651816904545
